LOCATION,INDICATOR,,FREQUENCY,TIME,Flag Codes,Tons of Beef,Beef kg/cap,Tons of Pork,Pork kg/cap,Tons of Poultry,Poultry kg/cap,Tons of Sheep,Sheep kg/cap
ARG,MEATCONSUMP,,A,1990,,2588.922,55.559,153.631,3.674,321,8.66,84.597,2.282
ARG,MEATCONSUMP,,A,1991,,2448.667,51.817,153.161,3.612,333.8,8.88,88.231,2.347
ARG,MEATCONSUMP,,A,1992,,2441.882,50.98,192.864,4.487,382.04,10.027,72.156,1.894
ARG,MEATCONSUMP,,A,1993,,2507.867,51.678,211.257,4.851,596.1,15.442,72.133,1.869
ARG,MEATCONSUMP,,A,1994,,2388.224,48.594,213.326,4.837,719.01,18.392,92.807,2.374
ARG,MEATCONSUMP,,A,1995,,2173.938,43.693,227.095,5.086,738.595,18.662,88.377,2.233
ARG,MEATCONSUMP,,A,1996,,2226.499,44.219,220.9,4.889,786.219,19.63,71.567,1.787
ARG,MEATCONSUMP,,A,1997,,2285.148,44.86,217,4.747,770.086,19.005,65.847,1.625
ARG,MEATCONSUMP,,A,1998,,2144.908,41.633,253.12,5.475,811.557,19.803,58.239,1.421
ARG,MEATCONSUMP,,A,1999,,2383.908,45.76,287.452,6.148,954.823,23.041,55.352,1.336
ARG,MEATCONSUMP,,A,2000,,2385.107,45.282,283.104,5.989,959.578,22.902,59.164,1.412
ARG,MEATCONSUMP,,A,2001,,2342.406,43.988,228.557,4.783,932.888,22.024,59.153,1.397
ARG,MEATCONSUMP,,A,2002,,2180.404,40.505,214.715,4.445,660.456,15.424,58.38,1.363
ARG,MEATCONSUMP,,A,2003,,2277.857,41.864,192.947,3.951,697.746,16.121,56.665,1.309
ARG,MEATCONSUMP,,A,2004,,2403.58,43.711,209.955,4.255,826.192,18.888,55.104,1.26
ARG,MEATCONSUMP,,A,2005,,2379.357,42.824,240.605,4.825,934.525,21.145,52.502,1.188
ARG,MEATCONSUMP,,A,2006,,2475.541,44.105,298.71,5.93,1086.653,24.338,51.653,1.157
ARG,MEATCONSUMP,,A,2007,,2687.746,47.41,307.536,6.045,1160.856,25.742,53.059,1.177
ARG,MEATCONSUMP,,A,2008,,2705.482,47.251,304.846,5.933,1273.18,27.954,50.21,1.102
ARG,MEATCONSUMP,,A,2009,,2715.874,46.961,332.953,6.415,1367.82,29.733,47.773,1.039
ARG,MEATCONSUMP,,A,2010,,2314.788,39.622,321.78,6.137,1464.41,31.511,47.965,1.032
ARG,MEATCONSUMP,,A,2011,,2266.864,38.402,348.663,6.582,1643.89,35.01,51.034,1.087
ARG,MEATCONSUMP,,A,2012,,2414.409,40.476,355.2,6.635,1749.15,36.864,56.101,1.182
ARG,MEATCONSUMP,,A,2013,,2655.708,44.056,426.242,7.879,1711.1,35.685,55.215,1.152
ARG,MEATCONSUMP,,A,2014,,2494.649,40.956,438.752,8.026,1777.8,36.692,59.113,1.22
ARG,MEATCONSUMP,,A,2015,,2527.844,41.079,476.638,8.631,1921.4,39.253,56.136,1.147
ARG,MEATCONSUMP,,A,2016,,2426.619,39.042,539.605,9.674,1924.5,38.925,50.032,1.012
ARG,MEATCONSUMP,,A,2017,,2484,39.575,587,10.421,1914.4,38.343,48.354,0.969
ARG,MEATCONSUMP,,A,2018,,2464,38.881,628.692,11.054,1939,38.464,48.854,0.969
ARG,MEATCONSUMP,,A,2019,,2430,37.985,653,11.374,1929.665,37.921,49.354,0.97
AUS,MEATCONSUMP,,A,1990,,0,0,0,0,425.003,22.051,366.452,19.013
AUS,MEATCONSUMP,,A,1991,,686.147,27.942,319.998,14.521,436.571,22.35,379.246,19.415
AUS,MEATCONSUMP,,A,1992,,656.427,26.405,340.376,15.256,443.68,22.436,355.184,17.961
AUS,MEATCONSUMP,,A,1993,,663.141,26.37,340.375,15.082,476.22,23.807,349.866,17.49
AUS,MEATCONSUMP,,A,1994,,652.496,25.662,357.027,15.646,494.982,24.473,374.265,18.505
AUS,MEATCONSUMP,,A,1995,,656.123,25.526,361.071,15.652,495.162,24.217,309.057,15.115
AUS,MEATCONSUMP,,A,1996,,713.345,27.453,337.618,14.478,508.785,24.615,305.815,14.795
AUS,MEATCONSUMP,,A,1997,,761.754,29,350.254,14.858,538.887,25.791,314.725,15.063
AUS,MEATCONSUMP,,A,1998,,710.694,26.765,363.562,15.257,583.855,27.643,326.886,15.476
AUS,MEATCONSUMP,,A,1999,,754.07,28.095,365.969,15.193,597.853,28.002,325.594,15.25
AUS,MEATCONSUMP,,A,2000,,719.378,26.515,381.067,15.651,640.563,29.682,353.24,16.368
AUS,MEATCONSUMP,,A,2001,,674.711,24.606,366.46,14.892,637.465,29.225,326.689,14.977
AUS,MEATCONSUMP,,A,2002,,700.181,25.263,408.37,16.418,716.384,32.494,303.789,13.779
AUS,MEATCONSUMP,,A,2003,,727.715,25.958,442.616,17.593,700.391,31.407,271.012,12.153
AUS,MEATCONSUMP,,A,2004,,815.597,28.719,451.583,17.718,741.201,32.81,270.734,11.984
AUS,MEATCONSUMP,,A,2005,,783.783,27.19,487.989,18.863,781.743,34.092,274.981,11.992
AUS,MEATCONSUMP,,A,2006,,792.609,27.03,484.445,18.409,820.738,35.187,288.541,12.37
AUS,MEATCONSUMP,,A,2007,,722.101,24.166,542.241,20.221,826.416,34.769,299.167,12.587
AUS,MEATCONSUMP,,A,2008,,711.36,23.343,524.288,19.17,806.28,33.261,266.458,10.992
AUS,MEATCONSUMP,,A,2009,,728.772,23.454,550.576,19.744,829.954,33.578,255.413,10.334
AUS,MEATCONSUMP,,A,2010,,801.045,25.31,571.745,20.129,947.731,37.645,225.907,8.973
AUS,MEATCONSUMP,,A,2011,,749.784,23.287,563.032,19.486,1011.635,39.499,206.07,8.046
AUS,MEATCONSUMP,,A,2012,,734.056,22.435,602.02,20.502,1049.383,40.319,227.034,8.723
AUS,MEATCONSUMP,,A,2013,,788.813,23.744,593.293,19.9,1061.305,40.161,230.507,8.723
AUS,MEATCONSUMP,,A,2014,,761.393,22.587,610.312,20.174,1094.188,40.806,217.634,8.116
AUS,MEATCONSUMP,,A,2015,,701.529,20.519,667.964,21.77,1141.933,41.989,254.168,9.346
AUS,MEATCONSUMP,,A,2016,,674.949,19.473,665.656,21.4,1227.258,44.512,234.352,8.5
AUS,MEATCONSUMP,,A,2017,,746.355,21.251,695.361,22.062,1211.037,43.349,216.656,7.755
AUS,MEATCONSUMP,,A,2018,,710.146,19.965,682.955,21.395,1198.318,42.353,197.556,6.982
AUS,MEATCONSUMP,,A,2019,,709.223,19.698,654.379,20.252,1245.5,43.488,177,6.18
BRA,MEATCONSUMP,,A,1990,,4441.969,20.868,1062.5,5.562,2118.732,12.513,114.398,0.676
BRA,MEATCONSUMP,,A,1991,,4480.047,20.68,1111.6,5.718,2380.605,13.814,115.839,0.672
BRA,MEATCONSUMP,,A,1992,,4526.875,20.542,1148.8,5.809,2572.767,14.677,117.003,0.668
BRA,MEATCONSUMP,,A,1993,,4663.653,20.813,1207.3,6.004,2708.908,15.198,122.806,0.689
BRA,MEATCONSUMP,,A,1994,,5297.496,23.259,1268,6.204,3007.8,16.602,120.3,0.664
BRA,MEATCONSUMP,,A,1995,,5996.039,25.906,1404.1,6.76,3711.853,20.161,129.149,0.702
BRA,MEATCONSUMP,,A,1996,,6224.332,26.468,1545.3,7.322,3578.253,19.129,103.502,0.553
BRA,MEATCONSUMP,,A,1997,,5903.084,24.713,1459.943,6.81,3917.06,20.615,106.761,0.562
BRA,MEATCONSUMP,,A,1998,,5689.546,23.457,1572.929,7.226,4338.278,22.485,108.742,0.564
BRA,MEATCONSUMP,,A,1999,,6142.739,24.953,1600.715,7.246,4860.652,24.823,114.288,0.584
BRA,MEATCONSUMP,,A,2000,,6301.641,25.237,2411.059,10.759,5176.023,26.059,109.31,0.55
BRA,MEATCONSUMP,,A,2001,,6326.587,24.993,2498.141,10.997,5059.204,25.125,104.733,0.52
BRA,MEATCONSUMP,,A,2002,,6591.21,25.699,2419.18,10.51,5535.409,27.132,101.598,0.498
BRA,MEATCONSUMP,,A,2003,,7712.832,29.696,2234.046,9.585,5907.974,28.596,100.595,0.487
BRA,MEATCONSUMP,,A,2004,,7275.638,27.678,2142.913,9.084,6304.614,30.151,108.379,0.518
BRA,MEATCONSUMP,,A,2005,,7902.987,29.722,2123.527,8.899,5166.996,24.429,110.097,0.521
BRA,MEATCONSUMP,,A,2006,,8623.834,32.082,2452.498,10.166,5615.413,26.262,113.472,0.531
BRA,MEATCONSUMP,,A,2007,,8354.419,30.758,2436.801,9.997,5959.553,27.583,114.538,0.53
BRA,MEATCONSUMP,,A,2008,,7403.42,26.987,2547.631,10.348,6876.862,31.514,116.222,0.533
BRA,MEATCONSUMP,,A,2009,,7110.986,25.673,2648.022,10.653,6653.042,30.196,115.367,0.524
BRA,MEATCONSUMP,,A,2010,,7360.084,26.325,2762.815,11.011,8676.876,39.014,117.664,0.529
BRA,MEATCONSUMP,,A,2011,,7309.01,25.903,2949.965,11.65,9090.358,40.501,118.276,0.527
BRA,MEATCONSUMP,,A,2012,,7448.019,26.161,2981.47,11.669,9021.138,39.835,120.769,0.533
BRA,MEATCONSUMP,,A,2013,,7973.897,27.765,2971.85,11.531,8980.604,39.311,124.657,0.546
BRA,MEATCONSUMP,,A,2014,,7543.149,26.041,3200.516,12.312,9156.336,39.739,126.112,0.547
BRA,MEATCONSUMP,,A,2015,,7293.165,24.968,3194.714,12.187,9519.466,40.97,128.996,0.555
BRA,MEATCONSUMP,,A,2016,,7478.075,25.391,3092.877,11.702,9445.025,40.316,128.481,0.548
BRA,MEATCONSUMP,,A,2017,,7533.468,25.373,3237.152,12.149,9660.953,40.906,125.621,0.532
BRA,MEATCONSUMP,,A,2018,,7559.782,25.263,3413.437,12.711,9547.336,40.109,124.53,0.523
BRA,MEATCONSUMP,,A,2019,,7593.866,25.187,3476.422,12.848,9664.7,40.298,124.7,0.52
BRICS,MEATCONSUMP,,A,1990,,8286.873,2.436,24175.636,7.919,3066.132,1.133,885.748,0.327
BRICS,MEATCONSUMP,,A,1991,,8559.054,2.477,25894.161,8.349,7356.861,2.676,2073.792,0.754
BRICS,MEATCONSUMP,,A,1992,,13340.869,3.805,27947.434,8.881,9612.051,3.446,2511.329,0.9
BRICS,MEATCONSUMP,,A,1993,,13600.126,3.826,32944.001,10.327,11041.067,3.905,2654.928,0.939
BRICS,MEATCONSUMP,,A,1994,,14441.263,4.01,35380.463,10.946,12595.3,4.396,2739.124,0.956
BRICS,MEATCONSUMP,,A,1995,,15396.117,4.22,36096.111,11.025,15273.178,5.263,2976.168,1.026
BRICS,MEATCONSUMP,,A,1996,,15529.254,4.204,35819.917,10.804,15307.829,5.209,2981.865,1.015
BRICS,MEATCONSUMP,,A,1997,,16056.564,4.293,40071.391,11.939,17122.026,5.755,3290.578,1.106
BRICS,MEATCONSUMP,,A,1998,,15995.85,4.226,43039.113,12.671,18454.077,6.129,3492.451,1.16
BRICS,MEATCONSUMP,,A,1999,,16398.419,4.283,43055.626,12.53,19629.892,6.445,3648.376,1.198
BRICS,MEATCONSUMP,,A,2000,,15970.187,4.124,44476.811,12.799,20683.936,6.715,3756.798,1.22
BRICS,MEATCONSUMP,,A,2001,,16314.671,4.168,45421.033,12.93,21070.001,6.767,3781.404,1.215
BRICS,MEATCONSUMP,,A,2002,,16837.834,4.257,46353.328,13.058,22062.319,7.012,3908.645,1.242
BRICS,MEATCONSUMP,,A,2003,,18125.562,4.536,47139.123,13.144,23124.12,7.274,4134.678,1.301
BRICS,MEATCONSUMP,,A,2004,,17848.073,4.422,47896.094,13.222,23534.355,7.33,4427.33,1.379
BRICS,MEATCONSUMP,,A,2005,,18633.946,4.571,50190.312,13.719,23939.348,7.383,4640.633,1.431
BRICS,MEATCONSUMP,,A,2006,,19352.521,4.702,51784.662,14.019,25213.367,7.701,4823.137,1.473
BRICS,MEATCONSUMP,,A,2007,,19742.329,4.751,48832.721,13.094,27335.116,8.269,5095.314,1.541
